1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
38, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
39, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
40, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
41, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
42, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
43, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
44, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
45, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
46, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
47, dungeons_plus:tower, HEADING, header:ignore, 0, 0, 0
48, dungeons_plus:reanimated_ruins_mossy, HEADING, header:ignore, 0, 0, 0
49, dungeons_plus:reanimated_ruins_mesa, HEADING, header:ignore, 0, 0, 0
50, dungeons_plus:reanimated_ruins_frozen, HEADING, header:ignore, 0, 0, 0
51, dungeons_plus:leviathan, HEADING, header:ignore, 0, 0, 0
52, dungeons_plus:leviathan, MONSTER, minecraft:husk, 1, 1, 4
53, dungeons_plus:snowy_temple, HEADING, header:ignore, 0, 0, 0
54, dungeons_plus:snowy_temple, MONSTER, minecraft:stray, 1, 1, 4
55, dungeons_plus:warped_garden, HEADING, header:ignore, 0, 0, 0
56, dungeons_plus:warped_garden, MONSTER, minecraft:drowned, 1, 1, 4
57, dungeons_plus:soul_prison, HEADING, header:ignore, 0, 0, 0
58, dungeons_plus:soul_prison, MONSTER, minecraft:skeleton, 5, 1, 4
59, dungeons_plus:soul_prison, MONSTER, minecraft:ghast, 1, 1, 2
60, dungeons_plus:end_ruins, HEADING, header:ignore, 0, 0, 0
61, conjurer_illager:theatre, HEADING, header:ignore, 0, 0, 0
62, valhelsia_structures:castle, HEADING, header:ignore, 0, 0, 0
63, valhelsia_structures:castle_ruin, HEADING, header:ignore, 0, 0, 0
64, valhelsia_structures:desert_house, HEADING, header:ignore, 0, 0, 0
65, valhelsia_structures:forge, HEADING, header:ignore, 0, 0, 0
66, valhelsia_structures:player_house, HEADING, header:ignore, 0, 0, 0
67, valhelsia_structures:spawner_dungeon, HEADING, header:ignore, 0, 0, 0
68, valhelsia_structures:tower_ruin, HEADING, header:ignore, 0, 0, 0
69, valhelsia_structures:witch_hut, HEADING, header:ignore, 0, 0, 0
70, valhelsia_structures:big_tree, HEADING, header:ignore, 0, 0, 0
71, valhelsia_structures:spawner_room, HEADING, header:ignore, 0, 0, 0
72, valhelsia_structures:deep_spawner_room, HEADING, header:ignore, 0, 0, 0
73, infernalexp:glowstone_canyon_ruin, HEADING, header:ignore, 0, 0, 0
74, infernalexp:soul_sand_valley_ruin, HEADING, header:ignore, 0, 0, 0
75, infernalexp:bastion_outpost, HEADING, header:ignore, 0, 0, 0
76, infernalexp:strider_altar, HEADING, header:ignore, 0, 0, 0
77, mowziesmobs:wrought_chamber, HEADING, header:ignore, 0, 0, 0
78, mowziesmobs:umvuthana_grove, HEADING, header:ignore, 0, 0, 0
79, mowziesmobs:frostmaw_spawn, HEADING, header:ignore, 0, 0, 0
80, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
81, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
82, bosses_of_mass_destruction:void_blossom, HEADING, header:ignore, 0, 0, 0
83, friendsandfoes:iceologer_cabin, HEADING, header:ignore, 0, 0, 0
84, friendsandfoes:iceologer_cabin, MONSTER, minecraft:pig, 1, 1, 1
85, irons_spellbooks:mountain_tower, HEADING, header:ignore, 0, 0, 0
86, bygonenether:citadel, HEADING, header:ignore, 0, 0, 0
87, bygonenether:citadel, MONSTER, bygonenether:warped_enderman, 1, 1, 1
88, bygonenether:citadel, MONSTER, minecraft:enderman, 1, 1, 1
89, terralith:spire, HEADING, header:ignore, 0, 0, 0
90, prodigium_dungeons:shelterer_dungeon, HEADING, header:ignore, 0, 0, 0
91, cataclysm:sunken_city, HEADING, header:ignore, 0, 0, 0
92, friendsandfoes:illusioner_training_grounds, HEADING, header:ignore, 0, 0, 0
93, friendsandfoes:illusioner_training_grounds, MONSTER, minecraft:illusioner, 1, 1, 1
94, friendsandfoes:illusioner_training_grounds, MONSTER, minecraft:pillager, 2, 1, 2
95, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
96, prodigium_dungeons:queen_hive, HEADING, header:ignore, 0, 0, 0
97, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
98, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 100, 10, 32
99, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 100, 4, 4
100, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 100, 4, 4
101, bygonenether:piglin_manor, HEADING, header:ignore, 0, 0, 0
102, bygonenether:piglin_manor, MONSTER, minecraft:piglin, 2, 1, 1
103, bygonenether:piglin_manor, MONSTER, bygonenether:piglin_hunter, 1, 1, 1
104, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
105, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 1, 0, 0
106, cataclysm:ancient_factory, HEADING, header:ignore, 0, 0, 0
107, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
108, bettermineshafts:mineshaft_acacia, AMBIENT, alexsmobs:underminer, 50, 1, 1
109, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
110, bettermineshafts:mineshaft_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
111, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
112, bettermineshafts:mineshaft_ice, AMBIENT, alexsmobs:underminer, 50, 1, 1
113, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
114, bettermineshafts:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 50, 1, 1
115, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
116, bettermineshafts:mineshaft_lush, AMBIENT, alexsmobs:underminer, 50, 1, 1
117, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
118, bettermineshafts:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
119, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
120, bettermineshafts:mineshaft_mushroom, AMBIENT, alexsmobs:underminer, 50, 1, 1
121, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
122, bettermineshafts:mineshaft_oak, AMBIENT, alexsmobs:underminer, 50, 1, 1
123, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
124, bettermineshafts:mineshaft_red_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
125, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
126, bettermineshafts:mineshaft_spruce, AMBIENT, alexsmobs:underminer, 50, 1, 1
127, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
128, bettermineshafts:mineshaft_spruce_snowy, AMBIENT, alexsmobs:underminer, 50, 1, 1
129, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
130, bettermineshafts:mineshaft_overgrown, AMBIENT, alexsmobs:underminer, 50, 1, 1
131, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
132, bettermineshafts:mineshaft_dripstone, AMBIENT, alexsmobs:underminer, 50, 1, 1
133, irons_spellbooks:ancient_battleground, HEADING, header:ignore, 0, 0, 0
134, aether:ruined_portal, HEADING, header:ignore, 0, 0, 0
135, aether:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
136, aether:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
137, aether:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
138, aether:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
139, aether:ruined_portal_aether, HEADING, header:ignore, 0, 0, 0
140, minecolonies:medieval_birch_colony, HEADING, header:ignore, 0, 0, 0
141, minecolonies:medieval_birch_colony, CREATURE, minecraft:cat, 100, 1, 2
142, minecolonies:medieval_oak_colony, HEADING, header:ignore, 0, 0, 0
143, minecolonies:medieval_oak_colony, CREATURE, minecraft:cat, 100, 1, 2
144, minecolonies:medieval_spruce_colony, HEADING, header:ignore, 0, 0, 0
145, minecolonies:medieval_spruce_colony, CREATURE, minecraft:cat, 100, 1, 2
146, minecolonies:medieval_dark_oak_colony, HEADING, header:ignore, 0, 0, 0
147, minecolonies:medieval_dark_oak_colony, CREATURE, minecraft:cat, 100, 1, 2
148, minecolonies:asian_colony, HEADING, header:ignore, 0, 0, 0
149, minecolonies:asian_colony, CREATURE, minecraft:cat, 100, 1, 2
150, minecolonies:caledonia_colony, HEADING, header:ignore, 0, 0, 0
151, minecolonies:caledonia_colony, CREATURE, minecraft:cat, 100, 1, 2
152, minecolonies:lostmesacity_colony, HEADING, header:ignore, 0, 0, 0
153, minecolonies:lostmesacity_colony, CREATURE, minecraft:cat, 100, 1, 2
154, minecolonies:desertoasis_colony, HEADING, header:ignore, 0, 0, 0
155, minecolonies:desertoasis_colony, CREATURE, minecraft:cat, 100, 1, 2
156, minecolonies:shire_colony, HEADING, header:ignore, 0, 0, 0
157, minecolonies:shire_colony, CREATURE, minecraft:cat, 100, 1, 2
158, minecolonies:incan_colony, HEADING, header:ignore, 0, 0, 0
159, minecolonies:incan_colony, CREATURE, minecraft:cat, 100, 1, 2
160, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
161, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 100, 4, 15
162, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
163, prodigium_dungeons:keeping_castle, HEADING, header:ignore, 0, 0, 0
164, bosses_of_mass_destruction:obsidilith_arena, HEADING, header:ignore, 0, 0, 0
165, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
166, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
167, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 100, 4, 15
168, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
169, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 1, 1, 1
170, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
171, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
172, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
173, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
174, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
175, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
176, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
177, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
178, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
179, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
180, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
181, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
182, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
183, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
184, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
185, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
186, dungeons_arise:mushroom_house, HEADING, header:ignore, 0, 0, 0
187, dungeons_arise:mushroom_mines, HEADING, header:ignore, 0, 0, 0
188, dungeons_arise:mushroom_village, HEADING, header:ignore, 0, 0, 0
189, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
190, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
191, dungeons_arise:wishing_well, HEADING, header:ignore, 0, 0, 0
192, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
193, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
194, bosses_of_mass_destruction:gauntlet_arena, HEADING, header:ignore, 0, 0, 0
195, prodigium_dungeons:icy_temple, HEADING, header:ignore, 0, 0, 0
196, cataclysm:soul_black_smith, HEADING, header:ignore, 0, 0, 0
197, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
198, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
199, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
200, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
201, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
202, dungeons_arise:thornborn_towers, HEADING, header:ignore, 0, 0, 0
203, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
204, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
205, dungeons_arise:plague_asylum, HEADING, header:ignore, 0, 0, 0
206, dungeons_arise:shiraz_palace, HEADING, header:ignore, 0, 0, 0
207, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
208, prodigium_dungeons:blossom_arena, HEADING, header:ignore, 0, 0, 0
209, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
210, irons_spellbooks:evoker_fort, HEADING, header:ignore, 0, 0, 0
211, irons_spellbooks:evoker_fort, MONSTER, minecraft:pillager, 10, 2, 3
212, irons_spellbooks:evoker_fort, MONSTER, minecraft:vindicator, 5, 4, 4
213, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
214, cataclysm:ruined_citadel, HEADING, header:ignore, 0, 0, 0
215, cataclysm:ruined_citadel, MONSTER, cataclysm:endermaptera, 3, 1, 1
216, friendsandfoes:illusioner_shack, HEADING, header:ignore, 0, 0, 0
217, friendsandfoes:illusioner_shack, MONSTER, minecraft:illusioner, 1, 1, 1
218, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
219, prodigium_dungeons:awful_dungeon, HEADING, header:ignore, 0, 0, 0
220, bosses_of_mass_destruction:lich_tower, HEADING, header:ignore, 0, 0, 0
221, prodigium_dungeons:house, HEADING, header:ignore, 0, 0, 0
222, irons_spellbooks:catacombs, HEADING, header:ignore, 0, 0, 0
223, irons_spellbooks:catacombs, MONSTER, irons_spellbooks:catacombs_zombie, 10, 4, 4
224, irons_spellbooks:catacombs, MONSTER, minecraft:skeleton, 5, 4, 4
225, irons_spellbooks:catacombs, MONSTER, irons_spellbooks:necromancer, 2, 4, 4
226, irons_spellbooks:mangrove_hut, HEADING, header:ignore, 0, 0, 0
227, friendsandfoes:citadel, HEADING, header:ignore, 0, 0, 0
228, friendsandfoes:citadel, MONSTER, minecraft:blaze, 1, 1, 2
229, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
230, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
231, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
232, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
233, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
234, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
235, atmospheric:arid_shrine, HEADING, header:ignore, 0, 0, 0
236, aether:bronze_dungeon, HEADING, header:ignore, 0, 0, 0
237, aether:silver_dungeon, HEADING, header:ignore, 0, 0, 0
238, aether:gold_dungeon, HEADING, header:ignore, 0, 0, 0
239, bygonenether:catacomb, HEADING, header:ignore, 0, 0, 0
240, bygonenether:catacomb, MONSTER, minecraft:magma_cube, 1, 1, 1
241, prodigiumreforged:house_test, HEADING, header:ignore, 0, 0, 0
242, minecolonies:warpednetherlands_colony, HEADING, header:ignore, 0, 0, 0
243, minecolonies:warpednetherlands_colony, CREATURE, minecraft:cat, 100, 1, 2
244, aether:large_aercloud, HEADING, header:ignore, 0, 0, 0
245, cataclysm:burning_arena, HEADING, header:ignore, 0, 0, 0
246, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
247, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 100, 4, 15
248, terralith:zpointer/minecraft_jungle, HEADING, header:ignore, 0, 0, 0
249, terralith:zpointer/minecraft_forest, HEADING, header:ignore, 0, 0, 0
250, terralith:zpointer/minecraft_ocean, HEADING, header:ignore, 0, 0, 0
251, terralith:zpointer/minecraft_bamboo_jungle, HEADING, header:ignore, 0, 0, 0
252, terralith:zpointer/terralith_yellowstone, HEADING, header:ignore, 0, 0, 0
253, terralith:zpointer/minecraft_deep_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
254, terralith:zpointer/terralith_cold_shrubland, HEADING, header:ignore, 0, 0, 0
255, terralith:zpointer/minecraft_deep_warm_ocean, HEADING, header:ignore, 0, 0, 0
256, terralith:zpointer/minecraft_stony_shore, HEADING, header:ignore, 0, 0, 0
257, terralith:zpointer/minecraft_grove, HEADING, header:ignore, 0, 0, 0
258, terralith:zpointer/terralith_bryce_canyon, HEADING, header:ignore, 0, 0, 0
259, terralith:zpointer/minecraft_flower_forest, HEADING, header:ignore, 0, 0, 0
260, terralith:zpointer/terralith_mountain_steppe, HEADING, header:ignore, 0, 0, 0
261, terralith:zpointer/terralith_temperate_highlands, HEADING, header:ignore, 0, 0, 0
262, terralith:zpointer/terralith_steppe, HEADING, header:ignore, 0, 0, 0
263, terralith:zpointer/terralith_wintry_forest, HEADING, header:ignore, 0, 0, 0
264, terralith:zpointer/terralith_birch_taiga, HEADING, header:ignore, 0, 0, 0
265, terralith:zpointer/terralith_skylands_spring, HEADING, header:ignore, 0, 0, 0
266, terralith:zpointer/minecraft_dark_forest, HEADING, header:ignore, 0, 0, 0
267, terralith:zpointer/terralith_sakura_grove, HEADING, header:ignore, 0, 0, 0
268, terralith:zpointer/terralith_cloud_forest, HEADING, header:ignore, 0, 0, 0
269, terralith:zpointer/minecraft_jagged_peaks, HEADING, header:ignore, 0, 0, 0
270, terralith:zpointer/terralith_lavender_forest, HEADING, header:ignore, 0, 0, 0
271, terralith:zpointer/minecraft_ice_spikes, HEADING, header:ignore, 0, 0, 0
272, terralith:zpointer/minecraft_river, HEADING, header:ignore, 0, 0, 0
273, terralith:zpointer/terralith_sakura_valley, HEADING, header:ignore, 0, 0, 0
274, terralith:zpointer/minecraft_deep_ocean, HEADING, header:ignore, 0, 0, 0
275, terralith:zpointer/minecraft_wooded_badlands, HEADING, header:ignore, 0, 0, 0
276, terralith:zpointer/minecraft_sunflower_plains, HEADING, header:ignore, 0, 0, 0
277, terralith:zpointer/terralith_highlands, HEADING, header:ignore, 0, 0, 0
278, terralith:zpointer/terralith_white_mesa, HEADING, header:ignore, 0, 0, 0
279, terralith:zpointer/terralith_windswept_spires, HEADING, header:ignore, 0, 0, 0
280, terralith:zpointer/terralith_rocky_shrubland, HEADING, header:ignore, 0, 0, 0
281, terralith:zpointer/terralith_warm_river, HEADING, header:ignore, 0, 0, 0
282, terralith:zpointer/terralith_desert_spires, HEADING, header:ignore, 0, 0, 0
283, terralith:zpointer/terralith_snowy_shield, HEADING, header:ignore, 0, 0, 0
284, terralith:zpointer/terralith_gravel_desert, HEADING, header:ignore, 0, 0, 0
285, terralith:zpointer/minecraft_old_growth_birch_forest, HEADING, header:ignore, 0, 0, 0
286, terralith:zpointer/terralith_haze_mountain, HEADING, header:ignore, 0, 0, 0
287, terralith:zpointer/terralith_moonlight_grove, HEADING, header:ignore, 0, 0, 0
288, terralith:zpointer/terralith_sandstone_valley, HEADING, header:ignore, 0, 0, 0
289, terralith:zpointer/terralith_savanna_slopes, HEADING, header:ignore, 0, 0, 0
290, terralith:zpointer/terralith_alpine_grove, HEADING, header:ignore, 0, 0, 0
291, terralith:zpointer/terralith_amethyst_rainforest, HEADING, header:ignore, 0, 0, 0
292, terralith:zpointer/terralith_jungle_mountains, HEADING, header:ignore, 0, 0, 0
293, terralith:zpointer/terralith_red_oasis, HEADING, header:ignore, 0, 0, 0
294, terralith:zpointer/terralith_shrubland, HEADING, header:ignore, 0, 0, 0
295, terralith:zpointer/terralith_granite_cliffs, HEADING, header:ignore, 0, 0, 0
296, terralith:zpointer/minecraft_sparse_jungle, HEADING, header:ignore, 0, 0, 0
297, terralith:zpointer/minecraft_birch_forest, HEADING, header:ignore, 0, 0, 0
298, terralith:zpointer/minecraft_snowy_slopes, HEADING, header:ignore, 0, 0, 0
299, terralith:zpointer/terralith_desert_oasis, HEADING, header:ignore, 0, 0, 0
300, terralith:zpointer/minecraft_old_growth_pine_taiga, HEADING, header:ignore, 0, 0, 0
301, terralith:zpointer/minecraft_stony_peaks, HEADING, header:ignore, 0, 0, 0
302, terralith:zpointer/terralith_mirage_isles, HEADING, header:ignore, 0, 0, 0
303, terralith:zpointer/minecraft_frozen_ocean, HEADING, header:ignore, 0, 0, 0
304, terralith:zpointer/terralith_warped_mesa, HEADING, header:ignore, 0, 0, 0
305, terralith:zpointer/terralith_painted_mountains, HEADING, header:ignore, 0, 0, 0
306, terralith:zpointer/terralith_fractured_savanna, HEADING, header:ignore, 0, 0, 0
307, terralith:zpointer/terralith_siberian_taiga, HEADING, header:ignore, 0, 0, 0
308, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
309, terralith:zpointer/minecraft_frozen_peaks, HEADING, header:ignore, 0, 0, 0
310, terralith:zpointer/minecraft_badlands, HEADING, header:ignore, 0, 0, 0
311, terralith:zpointer/minecraft_lush_caves, HEADING, header:ignore, 0, 0, 0
312, terralith:zpointer/minecraft_snowy_plains, HEADING, header:ignore, 0, 0, 0
313, terralith:zpointer/terralith_lush_valley, HEADING, header:ignore, 0, 0, 0
314, terralith:zpointer/terralith_lavender_valley, HEADING, header:ignore, 0, 0, 0
315, terralith:zpointer/terralith_skylands_winter, HEADING, header:ignore, 0, 0, 0
316, terralith:zpointer/terralith_arid_highlands, HEADING, header:ignore, 0, 0, 0
317, terralith:zpointer/terralith_savanna_badlands, HEADING, header:ignore, 0, 0, 0
318, terralith:zpointer/terralith_ashen_savanna, HEADING, header:ignore, 0, 0, 0
319, terralith:zpointer/minecraft_plains, HEADING, header:ignore, 0, 0, 0
320, terralith:zpointer/minecraft_windswept_gravelly_hills, HEADING, header:ignore, 0, 0, 0
321, terralith:zpointer/terralith_valley_clearing, HEADING, header:ignore, 0, 0, 0
322, terralith:zpointer/minecraft_cold_ocean, HEADING, header:ignore, 0, 0, 0
323, terralith:zpointer/terralith_tropical_jungle, HEADING, header:ignore, 0, 0, 0
324, terralith:zpointer/terralith_volcanic_peaks, HEADING, header:ignore, 0, 0, 0
325, terralith:zpointer/minecraft_old_growth_spruce_taiga, HEADING, header:ignore, 0, 0, 0
326, terralith:zpointer/terralith_snowy_badlands, HEADING, header:ignore, 0, 0, 0
327, terralith:zpointer/minecraft_deep_cold_ocean, HEADING, header:ignore, 0, 0, 0
328, terralith:zpointer/terralith_white_cliffs, HEADING, header:ignore, 0, 0, 0
329, terralith:zpointer/minecraft_savanna_plateau, HEADING, header:ignore, 0, 0, 0
330, terralith:zpointer/terralith_rocky_mountains, HEADING, header:ignore, 0, 0, 0
331, terralith:zpointer/terralith_moonlight_valley, HEADING, header:ignore, 0, 0, 0
332, terralith:zpointer/minecraft_deep_frozen_ocean, HEADING, header:ignore, 0, 0, 0
333, terralith:zpointer/terralith_emerald_peaks, HEADING, header:ignore, 0, 0, 0
334, terralith:zpointer/minecraft_desert, HEADING, header:ignore, 0, 0, 0
335, terralith:zpointer/minecraft_dripstone_caves, HEADING, header:ignore, 0, 0, 0
336, terralith:zpointer/terralith_blooming_valley, HEADING, header:ignore, 0, 0, 0
337, terralith:zpointer/terralith_volcanic_crater, HEADING, header:ignore, 0, 0, 0
338, terralith:zpointer/minecraft_lukewarm_ocean, HEADING, header:ignore, 0, 0, 0
339, terralith:zpointer/terralith_snowy_maple_forest, HEADING, header:ignore, 0, 0, 0
340, terralith:zpointer/terralith_rocky_jungle, HEADING, header:ignore, 0, 0, 0
341, terralith:zpointer/minecraft_snowy_beach, HEADING, header:ignore, 0, 0, 0
342, terralith:zpointer/minecraft_taiga, HEADING, header:ignore, 0, 0, 0
343, terralith:zpointer/terralith_siberian_grove, HEADING, header:ignore, 0, 0, 0
344, terralith:zpointer/terralith_yosemite_lowlands, HEADING, header:ignore, 0, 0, 0
345, terralith:zpointer/terralith_desert_canyon, HEADING, header:ignore, 0, 0, 0
346, terralith:zpointer/minecraft_windswept_forest, HEADING, header:ignore, 0, 0, 0
347, terralith:zpointer/terralith_stony_spires, HEADING, header:ignore, 0, 0, 0
348, terralith:zpointer/minecraft_mushroom_fields, HEADING, header:ignore, 0, 0, 0
349, terralith:zpointer/terralith_frozen_cliffs, HEADING, header:ignore, 0, 0, 0
350, terralith:zpointer/minecraft_frozen_river, HEADING, header:ignore, 0, 0, 0
351, terralith:zpointer/terralith_shield_clearing, HEADING, header:ignore, 0, 0, 0
352, terralith:zpointer/minecraft_warm_ocean, HEADING, header:ignore, 0, 0, 0
353, terralith:zpointer/minecraft_savanna, HEADING, header:ignore, 0, 0, 0
354, terralith:zpointer/terralith_blooming_plateau, HEADING, header:ignore, 0, 0, 0
