* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, none, deep_aether:aerglow_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
30, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:siamese_skeletons, 20, 1, 2
31, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 4, 1, 1
32, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
33, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
34, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:slaveman, 0, 1, 1
35, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
36, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
37, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:spiritof_chaos, 8, 1, 1
38, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:sucker, 0, 2, 3
39, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller, 8, 1, 1
40, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:swarmer, 8, 1, 1
41, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:the_moonflower, 0, 4, 4
42, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thebeartamer, 0, 1, 1
43, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thebidy, 0, 3, 4
44, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thegliter, 0, 2, 4
45, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:theheavy, 0, 1, 1
46, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thehorrors, 0, 1, 1
47, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thehorrorsdecoys, 0, 1, 2
48, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thehunter, 5, 2, 4
49, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:theordure, 0, 1, 1
50, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thepregnant, 0, 1, 1
51, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:therod, 0, 1, 2
52, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:theskeeper, 10, 1, 1
53, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thesmoker, 10, 1, 2
54, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thesomnolence, 0, 3, 8
55, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thespectre, 5, 1, 2
56, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thespitter, 0, 1, 1
57, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:theswarmer, 0, 1, 1
58, none, deep_aether:aerglow_forest, MONSTER, undead_revamp2:thewolf, 0, 1, 2
59, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 1, 1
60, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
61, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
62, none, deep_aether:aerglow_forest, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
63, none, deep_aether:aerglow_forest, CREATURE, aether:phyg, 10, 3, 4
64, none, deep_aether:aerglow_forest, CREATURE, aether:sheepuff, 12, 3, 4
65, none, deep_aether:aerglow_forest, CREATURE, aether:flying_cow, 12, 2, 5
66, none, deep_aether:aerglow_forest, CREATURE, aether:aerbunny, 11, 3, 3
67, none, deep_aether:aerglow_forest, CREATURE, aether:moa, 8, 1, 3
68, none, deep_aether:aerglow_forest, CREATURE, deep_aether:quail, 15, 2, 5
69, none, deep_aether:aerglow_forest, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
70, none, deep_aether:aerglow_forest, WATER_CREATURE, deep_aether:aerglow_fish, 3, 1, 3
71, none, deep_aether:aerglow_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 0, 0, 0
72, none, deep_aether:aerglow_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 0, 0, 0
73, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:bluegill, 2, 1, 1
74, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:brown_trout, 1, 1, 1
75, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:carp, 1, 1, 1
76, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
77, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:gar, 1, 1, 1
78, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:minnow, 1, 1, 1
79, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:muskellunge, 1, 1, 1
80, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:perch, 2, 1, 1
81, none, deep_aether:aerglow_forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 1, 1, 1
82, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:aechor_plant, 7, 1, 1
83, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:blue_swet, 6, 1, 1
84, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:golden_swet, 6, 1, 1
85, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:whirlwind, 3, 1, 1
86, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 1, 1, 1
87, none, deep_aether:aerglow_forest, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 5, 1, 2
88, none, deep_aether:aerglow_forest, AETHER_DARKNESS_MONSTER, aether:cockatrice, 8, 1, 1
89, none, deep_aether:aerglow_forest, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
90, none, deep_aether:aerglow_forest, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
91, none, deep_aether:aerlavender_fields, MONSTER, alexsmobs:farseer, 30, 1, 1
92, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:baby_skeleton, 18, 1, 2
93, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:baby_spider, 15, 3, 5
94, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
95, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:bigsucker, 0, 1, 3
96, none, deep_aether:aerlavender_fields, MONSTER, quark:stoneling, 60, 1, 1
97, none, deep_aether:aerlavender_fields, MONSTER, quark:toretoise, 65, 2, 4
98, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
99, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:bomber, 7, 1, 2
100, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
101, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:corpse_fly, 0, 1, 3
102, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:dark_vortex, 20, 1, 1
103, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 2
104, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:decrepit_skeleton, 30, 1, 2
105, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
106, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:door_knight, 25, 1, 1
107, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:dread_hound, 17, 3, 5
108, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 15, 1, 2
109, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:invisiblebidy, 4, 1, 4
110, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:invisiimmortal, 0, 0, 0
111, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:lifestealer, 5, 1, 1
112, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:missioner, 5, 1, 1
113, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:mother_spider, 8, 1, 1
114, none, deep_aether:aerlavender_fields, MONSTER, mowziesmobs:grottol, 2, 1, 1
115, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
116, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:neocrorines, 0, 1, 3
117, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:nightmare_stalker, 0, 1, 1
118, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:phantom_creeper, 20, 1, 1
119, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:restless_spirit, 25, 1, 1
120, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:siamese_skeletons, 20, 1, 2
121, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 4, 1, 1
122, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
123, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
124, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:slaveman, 0, 1, 1
125, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
126, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
127, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:spiritof_chaos, 8, 1, 1
128, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:sucker, 0, 2, 3
129, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:supreme_bonescaller, 8, 1, 1
130, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:swarmer, 8, 1, 1
131, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:the_moonflower, 0, 4, 4
132, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thebeartamer, 0, 1, 1
133, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thebidy, 0, 3, 4
134, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thegliter, 0, 2, 4
135, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:theheavy, 0, 1, 1
136, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thehorrors, 0, 1, 1
137, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thehorrorsdecoys, 0, 1, 2
138, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thehunter, 5, 2, 4
139, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:theordure, 0, 1, 1
140, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thepregnant, 0, 1, 1
141, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:therod, 0, 1, 2
142, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:theskeeper, 10, 1, 1
143, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thesmoker, 10, 1, 2
144, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thesomnolence, 0, 3, 8
145, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thespectre, 5, 1, 2
146, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thespitter, 0, 1, 1
147, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:theswarmer, 0, 1, 1
148, none, deep_aether:aerlavender_fields, MONSTER, undead_revamp2:thewolf, 0, 1, 2
149, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:zombie_bruiser, 20, 1, 1
150, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:zombie_clown, 20, 1, 1
151, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:zombie_fisherman, 30, 1, 1
152, none, deep_aether:aerlavender_fields, MONSTER, born_in_chaos_v1:zombie_lumberjack, 25, 1, 1
153, none, deep_aether:aerlavender_fields, CREATURE, aether:phyg, 10, 3, 4
154, none, deep_aether:aerlavender_fields, CREATURE, aether:sheepuff, 12, 3, 4
155, none, deep_aether:aerlavender_fields, CREATURE, aether:flying_cow, 12, 2, 5
156, none, deep_aether:aerlavender_fields, CREATURE, aether:aerbunny, 11, 3, 3
157, none, deep_aether:aerlavender_fields, CREATURE, aether:moa, 8, 1, 3
158, none, deep_aether:aerlavender_fields, CREATURE, deep_aether:quail, 15, 2, 5
159, none, deep_aether:aerlavender_fields, CREATURE, born_in_chaos_v1:thornshell_crab, 8, 1, 1
160, none, deep_aether:aerlavender_fields, WATER_CREATURE, deep_aether:aerglow_fish, 3, 1, 3
161, none, deep_aether:aerlavender_fields, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 0, 0, 0
162, none, deep_aether:aerlavender_fields, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 0, 0, 0
163, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:bluegill, 2, 1, 1
164, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:brown_trout, 1, 1, 1
165, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:carp, 1, 1, 1
166, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:catfish, 1, 1, 1
167, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:gar, 1, 1, 1
168, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:minnow, 1, 1, 1
169, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:muskellunge, 1, 1, 1
170, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:perch, 2, 1, 1
171, none, deep_aether:aerlavender_fields, WATER_AMBIENT, aquaculture:smallmouth_bass, 1, 1, 1
172, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:aechor_plant, 7, 1, 1
173, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:blue_swet, 6, 1, 1
174, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:golden_swet, 6, 1, 1
175, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:whirlwind, 3, 1, 1
176, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 1, 1, 1
177, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 5, 1, 2
178, none, deep_aether:aerlavender_fields, AETHER_DARKNESS_MONSTER, aether:cockatrice, 8, 1, 1
179, none, deep_aether:aerlavender_fields, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
180, none, deep_aether:aerlavender_fields, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
181, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 65, 3, 4
182, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 65, 4, 4
183, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
184, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 65, 4, 4
185, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 65, 4, 4
186, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 70, 4, 4
187, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 5, 1, 4
188, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
189, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:centipede_head, 8, 1, 1
190, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
191, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:murmur, 5, 1, 1
192, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:baby_skeleton, 18, 1, 2
193, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:baby_spider, 15, 3, 5
194, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
195, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:bigsucker, 0, 1, 3
196, forest, regions_unexplored:alpha_grove, MONSTER, quark:stoneling, 60, 1, 1
197, forest, regions_unexplored:alpha_grove, MONSTER, quark:toretoise, 65, 2, 4
198, forest, regions_unexplored:alpha_grove, MONSTER, bypowderandsteel:blastersentry, 30, 2, 4
199, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:bloody_gadfly, 15, 1, 1
200, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:bomber, 7, 1, 2
201, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
202, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:corpse_fly, 0, 1, 3
203, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:crawler, 0, 1, 1
204, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dark_vortex, 20, 1, 1
205, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:decaying_zombie, 30, 1, 2
206, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:decrepit_skeleton, 30, 1, 2
207, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
208, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:direwolf, 25, 1, 4
209, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:door_knight, 25, 1, 1
210, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:dread_hound, 17, 3, 5
211, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:equestrian, 15, 1, 1
212, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 15, 1, 2
213, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:faller, 0, 1, 2
214, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:flutterfly, 5, 1, 2
215, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:goblin, 30, 1, 3
216, forest, regions_unexplored:alpha_grove, MONSTER, bypowderandsteel:gunome, 30, 3, 5
217, forest, regions_unexplored:alpha_grove, MONSTER, earthtojavamobs:skeleton_wolf, 10, 2, 4
218, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:invisiblebidy, 4, 1, 4
219, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:invisiimmortal, 0, 0, 0
220, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:lifestealer, 5, 1, 1
221, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:meature, 8, 1, 4
222, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:missioner, 5, 1, 1
223, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:harpy, 20, 1, 2
224, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:black_slime, 25, 1, 3
225, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:blue_slime, 50, 1, 3
226, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:cave_bat, 40, 1, 2
227, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:giant_shelly, 30, 1, 1
228, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:giant_worm, 25, 1, 1
229, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:green_dumpling_slime, 30, 1, 3
230, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:green_slime, 50, 1, 3
231, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:nymph, 5, 1, 1
232, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:pink_slime, 5, 1, 1
233, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:purple_slime, 50, 1, 3
234, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:red_slime, 50, 1, 3
235, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:yellow_slime, 50, 1, 3
236, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:demon_eye, 50, 1, 2
237, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:flying_fish, 38, 1, 2
238, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:big_helmet_anger_bones, 20, 1, 1
239, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:big_muscle_anger_bones, 20, 1, 1
240, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:big_bones, 40, 1, 2
241, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:short_bones, 40, 1, 2
242, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:anger_bones, 40, 1, 2
243, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:big_anger_bones, 30, 1, 2
244, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:cursed_skull, 15, 1, 1
245, forest, regions_unexplored:alpha_grove, MONSTER, terra_entity:dark_caster, 20, 1, 1
246, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:mother_spider, 8, 1, 1
247, forest, regions_unexplored:alpha_grove, MONSTER, mowziesmobs:grottol, 2, 1, 1
248, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:mr_pumpkin, 15, 1, 3
249, forest, regions_unexplored:alpha_grove, MONSTER, irons_spellbooks:necromancer, 20, 1, 1
250, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:neocrorines, 0, 1, 3
251, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:nightmare_stalker, 0, 1, 1
252, forest, regions_unexplored:alpha_grove, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
253, forest, regions_unexplored:alpha_grove, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
254, forest, regions_unexplored:alpha_grove, MONSTER, majruszsdifficulty:tank, 3, 1, 1
255, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:phantom_creeper, 20, 1, 1
256, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:restless_spirit, 25, 1, 1
257, forest, regions_unexplored:alpha_grove, MONSTER, bypowderandsteel:sabersentry, 30, 2, 4
258, forest, regions_unexplored:alpha_grove, MONSTER, bypowderandsteel:shrubhulk, 15, 1, 2
259, forest, regions_unexplored:alpha_grove, MONSTER, bypowderandsteel:shrubsnapper, 30, 3, 4
260, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:siamese_skeletons, 20, 1, 2
261, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 4, 1, 1
262, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:skeleton_demoman, 10, 1, 1
263, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
264, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:slaveman, 0, 1, 1
265, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:slugger, 20, 1, 1
266, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 9, 2, 2
267, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
268, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:spiritof_chaos, 8, 1, 1
269, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:sprinter, 25, 1, 1
270, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:sucker, 0, 2, 3
271, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:supreme_bonescaller, 8, 1, 1
272, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:swarmer, 8, 1, 1
273, forest, regions_unexplored:alpha_grove, MONSTER, enemyexpansion:tarantula, 30, 1, 1
274, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:the_moonflower, 0, 4, 4
275, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:thebeartamer, 0, 1, 1
276, forest, regions_unexplored:alpha_grove, MONSTER, undead_revamp2:thebidy, 0, 3, 4
